video_id,title,description,channel,published_at,url,comment_sample
m_Zl8dEDa2o,"Dukung Fatwa MUI, Bupati Ngawi Soroti Dampak Kebisingan Sound Horeg",Ngawi (JurnalMediaNusa) – Bupati Ngawi Ony Anwar Harsono menyatakan dukungan terhadap fatwa haram penggunaan sound ...,Jurnal Media Nusa ,2025-07-31T03:04:16Z,https://www.youtube.com/watch?v=m_Zl8dEDa2o,[]
Bc64zGJdRXQ,SOUND🚚HOREG‼️HARAM ‼️Keputusan🤲Fatwa MUI Se-Jawa Timur,soundhoreg #sound #indonesia #haram #mui #jawatimur.,ODIE BarracudaTMGM,2025-07-05T20:35:41Z,https://www.youtube.com/watch?v=Bc64zGJdRXQ,"['Iki seni Dudu kejahatan, karepmu', 'Nyolong duit rakyat GK haram sound horeg kok haram aneh', 'sak serah mu Yo ngomong opo lah', 'LAWAK.... TAK GUYU AE KARO NGOPI..😂😂😂😂']"
53pbQo717NI,PULUHAN PESANTREN JATIM KELUARKAN FATWA HARAM UNTUK SOUND HOREG!,Setidaknya 50 pondok pesantren di Jawa Timur mengeluarkan fatwa haram terhadap musik “horeg”—fenomena musik hajatan ...,JMI CHANNEL,2025-07-09T16:26:26Z,https://www.youtube.com/watch?v=53pbQo717NI,['puluhan gimana min cuma segelintir aja dan sudah beres malang looosss karnaval sound horeg.....']
GYeFRed_boA,Gus Muwafiq Terbaru❗Menanggapi Hukum Sound Horeg Mas Brewog dkk,KH. Ahmad Muwafiq menanggapi Putusan MUI Jawa Timur terkait viralnya hukum Sound Horeg #soundhoreg #gusmuwafiq ...,Kang Jangkah TV,2025-07-18T22:41:06Z,https://www.youtube.com/watch?v=GYeFRed_boA,"['Gus , benar , matab gus❤❤❤❤❤', 'Sound horeg memang kalo pake keliling .bagi orang yg ga seneng  suara keras dan getaran mungkin aja bisamenggagu orang yg  sedang dilewati sound keliling tsb', 'Gus son horeg mang unrang gus ta ningalli dari hp aja gus  setuju gus bila son horeg pean udang hehehhe😂😂😂', 'Sound Horeg Hukumnya jelas haram, berlebih2an mengganggu, yakin sepakat smua ulama mengharamkan , wong acaranya jg bgt , itu tugas ulama berfatwa mengharamkan, karna mmg ulama yg lebih tahu...ikuti ulama sesuai kapasitas keilmuwannya. Klo orang sekadar bicara agama sebagian bisa ,tp klo yg sepesifik gak mungkin bisa.\nSaya orang teknik menguasai bidang saya dilapangan, tp klo sepesifik gak berani berbicara. Aplg yg bkn bidangnya. Intinya dengarkan yg ahlinya.\nIkuti saja yg benar2 orang berilmu , Insya Allah selamat dunia akhirat. Orang bodoh mmg sll mengira dirinya bijak, gak paham tp sok tahu dan tdk malu. Yg dikatakan ulama itu ilmuwan klo di bidangnya. Klo GM menurut sy sekedar penceramah bkn ulama...artinya banyak orang yg sperti dia di indo. Lebih cocok jd guru sejarah bkn penceramah agama karna bisa menyesatkan umat.', 'Waduhhh...jika tdk paham hukum fikih..nggk komentar gus...\nSampeyan opo2 nganggo akal']"
XGKq3BfFT-Y,Fatwa haram soal sound horeg masih menjadi topik hangat di Kabupaten Blitar,Fatwa haram soal sound horeg masih menjadi topik hangat termasuk di Kabupaten Blitar. Fenomena tersebut turut ditanggapi ...,Kanza Viral,2025-07-23T09:10:36Z,https://www.youtube.com/watch?v=XGKq3BfFT-Y,[]
VAKjeZSTFb8,MUI Jawa Timur dukung fatwa haram sound horeg?  #FatwaHaram #SoundHoreg #KatalisPortal #JawaTimur,,katalis portal,2025-07-02T18:44:33Z,https://www.youtube.com/watch?v=VAKjeZSTFb8,[]
2MHUYLwK4ZY,Kencengnya!!! Melihat Lebih Dekat Battle Sound Horeg | Fakta tvOne,"Jakarta, https://www.tvOnenews.com - Kencengnya!!! Melihat Lebih Dekat Battle Sound Horeg | Fakta tvOne Hampir di setiap ...",tvOneNews ,2025-08-11T14:10:00Z,https://www.youtube.com/watch?v=2MHUYLwK4ZY,"['perhatikan menit 7.50', 'Berusaha mencari sisi negatif😂😅', 'Namanya juga battle', 'orang yang mau malah dia yang protes😂', 'Kang shooting gk bayar tiket 😅']"
EGGFohi91nk,Sound Horeg Ditetapkan Masuk Dalam Fatwa Haram oleh MUI #shorts,,Mata Hati Reformasi,2025-07-13T13:16:40Z,https://www.youtube.com/watch?v=EGGFohi91nk,[]
2MHUYLwK4ZY,Kencengnya!!! Melihat Lebih Dekat Battle Sound Horeg | Fakta tvOne,"Jakarta, https://www.tvOnenews.com - Kencengnya!!! Melihat Lebih Dekat Battle Sound Horeg | Fakta tvOne Hampir di setiap ...",tvOneNews ,2025-08-11T14:10:00Z,https://www.youtube.com/watch?v=2MHUYLwK4ZY,"['perhatikan menit 7.50', 'Berusaha mencari sisi negatif😂😅', 'Namanya juga battle', 'orang yang mau malah dia yang protes😂', 'Kang shooting gk bayar tiket 😅']"
EGGFohi91nk,Sound Horeg Ditetapkan Masuk Dalam Fatwa Haram oleh MUI #shorts,,Mata Hati Reformasi,2025-07-13T13:16:40Z,https://www.youtube.com/watch?v=EGGFohi91nk,[]
m2cakHQ1MSs,Bupati Lumajang Indah Amperawati Respons Fatwa MUI Soal Sound Horeg,"Lumajang — Bupati Lumajang, Indah Amperawati, akhirnya merespons fatwa Majelis Ulama Indonesia (MUI) tentang ...",Ke Lumajang,2025-07-13T07:02:52Z,https://www.youtube.com/watch?v=m2cakHQ1MSs,[]
rqLCJ5282sk,Sound Horeg Haram #soundhoreg #fatwaulama,"Hasil Keputusan Bahtsul Masail GSM Pondok Besuk, Pasuruan #soundhoreg #fatwaulama #fatwamui.",Ubaid Channel,2025-07-18T10:45:38Z,https://www.youtube.com/watch?v=rqLCJ5282sk,[]
my20ziSjLLo,FATWA HARAM SOUND HOREG || PENDAPAT GUS MIFTAH TENTANG SOUND HOREG,,Yt santri,2025-07-13T22:30:06Z,https://www.youtube.com/watch?v=my20ziSjLLo,"['Ko gk ke lampung rot so nya gus kusus lmpung tmur', 'AKHIR ZAMAN KANG, ""ONO BUTO MACAK DEWO"" ...SALLIMNA YA ALLAH YA SALAAM\n\nMugo -mugo SeLaMeT', 'Hadir absen disini boss msh molor🤣🤣🤣🙏🙏', 'Asalamualaikum wr wb Bos Yt Santri doa yg terbaik baik aja sehat n sukses selalu channelnya🤲🤲🤲🤲🙏🙏🙏🙏']"
